deltaX,deltaY,deltaZ,delta_alpha,delta_beta,delta_gamma
0.0,0.0,0.0,-0.0,-3.529011857995078e-24,-0.0
-0.03721132501959801,0.01245853491127491,0.1713581085205078,-0.0,-3.529011857995078e-24,-0.0
-0.11164556443691254,0.039004478603601456,0.5270109176635742,-0.0,-3.529011857995078e-24,-0.0
-0.17926596105098724,0.06651816517114639,0.8770523071289062,-0.0,-3.529011857995078e-24,-0.0
-0.2280501127243042,0.09182505309581757,1.1728630065917969,-0.0,-3.529011857995078e-24,-0.0
-0.2460418939590454,0.11091019213199615,1.359283447265625,-0.0,-3.529011857995078e-24,-0.0
-0.22805023193359375,0.12075568735599518,1.402268409729004,-0.0,-3.529011857995078e-24,-0.0
-0.1792658567428589,0.12100937962532043,1.3091421127319336,-0.0,-3.529011857995078e-24,-0.0
-0.11164557933807373,0.11379605531692505,1.1200761795043945,-0.0,-3.529011857995078e-24,-0.0
-0.03721141815185547,0.10211596637964249,0.882300853729248,-0.0,-3.529011857995078e-24,-0.0
0.15497148036956787,0.10545742511749268,0.7250356674194336,-0.0,0.017314905300736427,1.3497086781555367e-10
0.47772306203842163,0.12426698952913284,0.6498609781265259,7.243721681510218e-12,0.0535857193171978,1.0680681894470467e-09
0.7982006669044495,0.13931909203529358,0.5343766212463379,1.0929609300935894e-10,0.09057798981666565,3.2807485617070142e-09
1.0635658502578735,0.14741164445877075,0.3598613142967224,5.629033350551538e-10,0.12474620342254639,7.078596375720281e-09
1.212378978729248,0.1455119550228119,0.1396404206752777,-1.074488338304036e-07,0.15151891112327576,-2.15435864703295e-08
1.2072654962539673,0.13225692510604858,-0.07123412936925888,4.0833181280675035e-09,0.16688483953475952,1.9192881950402807e-08
1.0673129558563232,0.10898015648126602,-0.2001534104347229,7.482594988061919e-09,0.1692981868982315,2.64753392542616e-08
0.8624229431152344,0.07918308675289154,-0.20253266394138336,1.1460559612430643e-08,0.16029104590415955,3.3654828257567715e-08
0.6701599359512329,0.04686914011836052,-0.08459071815013885,7.224894460478026e-08,0.14330947399139404,1.371002298355961e-07
0.5378705263137817,0.015150695107877254,0.11320847272872925,-2.5572997941480935e-08,0.12200335413217545,-5.976117734007858e-08
0.5483996272087097,3.2697181495677796e-07,0.23725295066833496,2.2967270751905744e-08,0.11788618564605713,0.010859484784305096
0.6497377753257751,0.007056304719299078,0.2370610535144806,0.0014298839960247278,0.13091084361076355,0.032588712871074677
0.7396535277366638,0.032226402312517166,0.2002388834953308,0.006140419282019138,0.14001040160655975,0.052709221839904785
0.7919191122055054,0.07680390775203705,0.1276039034128189,0.013892700895667076,0.14227470755577087,0.06851442903280258
0.7800984978675842,0.13084834814071655,0.0344003327190876,0.02280735969543457,0.13513365387916565,0.07719363272190094
0.6941803097724915,0.17350426316261292,-0.05165976285934448,0.029639825224876404,0.11801887303590775,0.07698589563369751
0.5505441427230835,0.18468381464481354,-0.10376705229282379,0.031384535133838654,0.09327103942632675,0.06803949922323227
0.38184842467308044,0.1583751142024994,-0.11080929636955261,0.02702118083834648,0.06504929810762405,0.05226058512926102
0.2165597826242447,0.10362500697374344,-0.0800427794456482,0.017789265140891075,0.03715766221284866,0.03235175088047981
0.06802017986774445,0.035324499011039734,-0.028430284932255745,0.006082832347601652,0.011712384410202503,0.010823785327374935
