deltaX,deltaY,deltaZ,delta_alpha,delta_beta,delta_gamma
-0.0,-1.0,2.0,-0.0872664600610733,1.9352461185300744e-17,-8.449418346657663e-19
-2.0,0.0,-4.0,0.0,0.0,-0.0
