x, y, z
4.13974, -0.0597428, -1.14902
4.0944, -0.056891, -1.2012
4.01619, -0.0640104, -1.27833
3.96915, -0.0722197, -1.30775
3.94002, -0.0745029, -1.31757
3.89981, -0.0710936, -1.33772
3.86945, -0.0770283, -1.36057
3.79414, -0.0796014, -1.4028
3.74796, -0.090498, -1.42196
3.68962, -0.0927475, -1.44061
3.66527, -0.0890959, -1.45125
3.59407, -0.101438, -1.46831
3.52208, -0.122199, -1.48223
3.47293, -0.128713, -1.49677
3.43738, -0.128959, -1.49948
3.41658, -0.127056, -1.50092
3.39466, -0.128154, -1.50314
3.35961, -0.132459, -1.51184
3.32311, -0.141029, -1.51981
3.27865, -0.145038, -1.53301
3.23987, -0.142644, -1.53884
3.21572, -0.13891, -1.54171
3.19083, -0.140283, -1.54757
3.14395, -0.15112, -1.56125
3.09157, -0.155426, -1.57426
3.04072, -0.156923, -1.57213
3.01219, -0.15671, -1.57453
2.98823, -0.158516, -1.58075
2.9477, -0.159647, -1.60368
2.89564, -0.157402, -1.62085
2.87472, -0.157044, -1.61811
2.84437, -0.156248, -1.61544
2.78521, -0.154637, -1.62588
2.72717, -0.15592, -1.65031
2.67937, -0.161068, -1.66555
2.58778, -0.161066, -1.65327
2.53595, -0.162418, -1.6659
2.53171, -0.202443, -1.47523
2.48146, -0.205158, -1.47458
2.45673, -0.206018, -1.46316
2.38116, -0.206509, -1.46531
2.32811, -0.232258, -1.43306
2.25483, -0.234928, -1.41757
2.25006, -0.235632, -1.40765
2.19928, -0.237405, -1.40501
2.1652, -0.236198, -1.40687
2.12143, -0.240837, -1.39993
2.10555, -0.244242, -1.38553
2.07309, -0.244564, -1.36492
2.05391, -0.244344, -1.35623
2.028, -0.244945, -1.34881
1.9761, -0.245261, -1.33153
1.94675, -0.246709, -1.31176
1.92657, -0.251377, -1.29106
1.9058, -0.256133, -1.27344
1.83836, -0.253399, -1.24281
1.78742, -0.257848, -1.21551
1.7618, -0.262097, -1.18819
1.74839, -0.263842, -1.17514
1.72714, -0.263565, -1.15973
1.69104, -0.263198, -1.14352
1.65383, -0.269413, -1.11523
1.63533, -0.273088, -1.08601
1.62425, -0.275319, -1.06321
1.61671, -0.280237, -1.05218
1.6119, -0.281124, -1.04823
1.61137, -0.28377, -1.04732
1.60641, -0.283216, -1.04411
1.60778, -0.285202, -1.04214
1.60792, -0.287567, -1.03359
