x, y, z
0, 0, 0
-0.00186512, 0.00255728, 0.00413304
-0.000356669, -0.00156507, 0.00940001
0.000682599, -0.0027515, 0.0130379
0.000313931, -0.00391788, 0.0133637
0.000856405, -0.0045331, 0.0182957
0.000445109, -0.00548832, 0.0176915
0.000727256, -0.0089293, 0.023111
-0.000820174, -0.0100554, 0.0283042
0.000383481, -0.0123333, 0.040485
-0.00067032, -0.0148519, 0.048065
-0.000576812, -0.0176365, 0.0597474
-0.000453389, -0.01886, 0.0617993
0.00524202, -0.0187781, 0.0689911
0.0133307, -0.0208275, 0.0868224
0.0164437, -0.0268455, 0.113673
0.0157383, -0.0256561, 0.150274
0.0203557, -0.0238656, 0.161237
0.0251941, -0.0236086, 0.173112
0.0257198, -0.0235086, 0.203129
0.0256917, -0.0212481, 0.224905
0.0290112, -0.0182381, 0.239453
0.0455368, -0.0143628, 0.259329
0.0474018, -0.016333, 0.275769
0.0476958, -0.0161876, 0.286282
0.0477166, -0.0175824, 0.301731
0.0452874, -0.0146756, 0.312483
0.0392539, -0.0148541, 0.339992
0.033693, -0.0114139, 0.351231
0.0259462, -0.00971523, 0.359817
0.0192857, -0.00762883, 0.366586
0.0153422, -0.00606261, 0.376015
0.009466, -0.003237, 0.390445
0.0133932, -0.00138286, 0.417652
0.0181934, -0.00448456, 0.450529
0.0223671, 0.00180447, 0.510503
0.0260557, 0.00697707, 0.541674
0.0329072, 0.00836487, 0.571641
0.0332056, 0.0101986, 0.588441
0.0453489, 0.0122853, 0.621265
0.0524196, 0.0113198, 0.644077
0.0692852, 0.014259, 0.679003
0.0750784, 0.0130492, 0.699416
0.0864857, 0.0119435, 0.723752
0.103885, 0.0116754, 0.74634
0.117799, 0.0135096, 0.77473
0.129389, 0.0177982, 0.812348
0.143832, 0.0158925, 0.847366
0.150739, 0.0145403, 0.866249
0.160482, 0.0136996, 0.887521
0.17291, 0.0200123, 0.917831
0.195956, 0.0213551, 0.952117
0.214583, 0.0239631, 0.975441
0.240382, 0.0298777, 1.01044
0.264643, 0.0344915, 1.03913
0.277885, 0.0390088, 1.05895
0.295612, 0.0432178, 1.07549
0.32855, 0.0468757, 1.09874
0.346591, 0.0474368, 1.10766
0.373351, 0.0517685, 1.11852
0.39158, 0.0572166, 1.13906
0.435383, 0.0640615, 1.20079
0.477036, 0.0774327, 1.27066
0.512831, 0.0843375, 1.32416
0.548835, 0.0918831, 1.37523
